卡名,Image URL,效果
蕾禍ノ玄神憑月,/yugiohdb/get_image.action?type=1&osplang=1&cid=20227&ciid=1&enc=rTVLJNbLok54NYKMrquGxQ,昆虫族・植物族・爬虫類族モンスター２体以上このカード名の①②の効果はそれぞれ１ターンに１度しか使用できない。①：自分の墓地からモンスターを２体まで除外し、その数だけ相手フィールドの魔法・罠カードを対象として発動できる。そのカードを破壊する。②：このカードが墓地に存在する場合、自分フィールドの昆虫族・植物族・爬虫類族モンスター１体を対象として発動できる。そのモンスターをデッキの一番下に戻し、このカードを特殊召喚する。このターン、自分は昆虫族・植物族・爬虫類族モンスターしか特殊召喚できない。
ヴァルモニカの神奏－ヴァーラル,/yugiohdb/get_image.action?type=1&osplang=1&cid=20228&ciid=1&enc=4NYWrD299wzaq8jdNYON0g,「ヴァルモニカ」Lモンスターを含むモンスター２体①：自分フィールドに響鳴カウンターが６つ以上存在する限り、フィールドのこのカードは「ヴァルモニカ」カード以外のカードの効果を受けない。②：このカードは通常の攻撃に加えて、自分フィールドのレベル４の「ヴァルモニカ」モンスターの数まで１度のバトルフェイズ中に攻撃できる。③：１ターンに１度、相手がモンスターを特殊召喚する際に発動できる。その特殊召喚を無効にし、そのモンスターを破壊する。その後、自分フィールドの響鳴カウンターを３つ取り除く。
ミニャーマドルチェ・ニャカロン,/yugiohdb/get_image.action?type=1&osplang=1&cid=20229&ciid=1&enc=476MRXmBuTNJqDcZC6vCXw,「マドルチェ」モンスターを含む効果モンスター２体以上このカード名の①②の効果はそれぞれ１ターンに１度しか使用できない。①：このカードがL召喚した場合に発動できる。デッキから「マドルチェ」カード１枚を手札に加える。②：自分の墓地のモンスター１体を対象として発動できる。手札から「マドルチェ」モンスター１体を特殊召喚し、対象のモンスターをデッキに戻す。この効果の発動後、ターン終了時まで自分は「マドルチェ」モンスター以外のモンスターの効果を発動できない。
星界樹イルミスティル,/yugiohdb/get_image.action?type=1&osplang=1&cid=20230&ciid=1&enc=16KL6eE1lNhngf2bN2S1ZQ,効果モンスター３体以上①：「星界樹イルミスティル」は自分フィールドに１枚しか表側表示で存在できない。②：このカードがモンスターゾーンに存在する限り、相手がメインフェイズにモンスターを表側表示で特殊召喚する度に、自分はそのモンスターの攻撃力分だけLPを回復する。③：自分・相手ターンに１度、１０００の倍数のLPを払って発動できる（最大３０００まで）。このカードの攻撃力は払った数値分アップする。
影法師トップハットヘア,/yugiohdb/get_image.action?type=1&osplang=1&cid=20231&ciid=1&enc=lYNVvZOscqr13yWz6QMuBA,効果モンスター２体このカード名の①③の効果はそれぞれ１ターンに１度しか使用できない。①：このカードがL召喚した場合に発動できる。自身をモンスターとして特殊召喚する効果を持つ永続罠カード１枚をデッキから自分フィールドにセットする。このカードはこのターンL素材にできない。②：このカードがモンスターと戦闘を行う場合、その２体はその戦闘では破壊されない。③：魔法＆罠ゾーンのカードがモンスターゾーンに特殊召喚された場合、相手フィールドの魔法・罠カード１枚を対象として発動できる。そのカードを破壊する。
千年の十字,/yugiohdb/get_image.action?type=1&osplang=1&cid=20232&ciid=1&enc=o_BdO8Zxub1NMM_z44VXIA,①：自分の手札・デッキ・フィールド（表側表示）の「封印されし」モンスターカード５枚を選び、お互いに確認する。その後、EXデッキから「幻の召喚神エクゾディア」１体を特殊召喚する。「千年」モンスターカード、「ミレニアム」モンスターカード、元々のレベルが１０以上の「エクゾディア」モンスターカードを除く、表側表示のモンスターカードが自分フィールドに存在する場合、さらにそれらを全てデッキに戻す。このターン、自分はモンスターを召喚・反転召喚・特殊召喚できない。発動後このカードは墓地へ送らず、デッキに戻る。
石版の神殿,/yugiohdb/get_image.action?type=1&osplang=1&cid=20233&ciid=1&enc=xdpTXzGW03Cygj2JLOEaxA,このカード名の①の効果は１ターンに１度しか使用できない。①：自分メインフェイズに発動できる。手札からモンスター１体を永続魔法カード扱いで自分の魔法＆罠ゾーンに表側表示で置く。その後、「千年」モンスターか「ミレニアム」モンスター１体をデッキから永続魔法カード扱いで自分の魔法＆罠ゾーンに表側表示で置く。②：自分フィールドの表側表示の、「千年」モンスターか「ミレニアム」モンスターが戦闘・効果で破壊された場合、墓地へ送らずに永続魔法カード扱いで自分の魔法＆罠ゾーンに表側表示で置く事ができる。
魔神火焔砲,/yugiohdb/get_image.action?type=1&osplang=1&cid=20234&ciid=1&enc=6LlgOp5iH3Zhng_gJdov4w,①：元々のカード名に「エクゾディア」を含むフィールドのレベル１０以上のモンスター１体は以下の効果を得る。●LPを半分払って発動できる。お互いの魔法＆罠ゾーンのカードを全て破壊する。その後、手札・デッキから「封印されし」モンスター５体をそれぞれ攻撃力２０００アップの装備魔法カード扱いでこのカードに装備する。この効果の発動後、ターン終了時まで自分はこのカード以外のカードの効果を発動できない。●このカードが守備表示モンスターを攻撃した場合、その守備力を攻撃力が超えた分だけ相手に戦闘ダメージを与える。
地獄人形の館,/yugiohdb/get_image.action?type=1&osplang=1&cid=20235&ciid=1&enc=AlTXP9nC9OQrpYR75fXK6w,このカード名のカードは１ターンに１枚しか発動できない。①：このカードの発動時の効果処理として、デッキから「ギミック・パペット」モンスター１体を手札に加える事ができる。②：自分フィールドの「ギミック・パペット」モンスターは戦闘では破壊されず、Xモンスター以外の相手モンスターが発動した効果を受けない。③：１ターンに１度、自分フィールドのX素材を１つ取り除き、自分の墓地の「ギミック・パペット」モンスター１体を対象として発動できる。そのモンスターを相手フィールドに守備表示で特殊召喚する。
竜の影光,/yugiohdb/get_image.action?type=1&osplang=1&cid=20236&ciid=1&enc=yMwyeWLLrVyDAncKWkV50g,①：以下の効果から１つを選択して発動できる（このカード名の以下の効果はそれぞれ１ターンに１度しか選択できない）。●手札のドラゴン族・レベル８モンスター１体をデッキに戻し、そのモンスターとは属性が異なるドラゴン族・レベル８モンスター１体をデッキから手札に加える。●自分フィールドのドラゴン族モンスター１体を対象として発動できる。そのモンスターの攻撃力は自身のレベル×２００アップする。●自分フィールドのドラゴン族モンスターを対象とするカードの効果が発動した時に発動できる。その効果を無効にする。
白き森のいいつたえ,/yugiohdb/get_image.action?type=1&osplang=1&cid=20237&ciid=1&enc=TTG9mwSMXFX6PDygX3GRfA,このカード名の①②の効果はそれぞれ１ターンに１度しか使用できない。①：自分フィールドに幻想魔族か魔法使い族のモンスターが存在する場合に発動できる。デッキから「白き森」モンスター１体を手札に加える。②：このカードがモンスターの効果を発動するために墓地へ送られた場合に発動できる。このカードを自分フィールドにセットする。
白き森にはいるべからず,/yugiohdb/get_image.action?type=1&osplang=1&cid=20238&ciid=1&enc=dhaF5PYbyhn6E_ExSm6zjg,このカード名の①②の効果はそれぞれ１ターンに１度しか使用できない。①：自分フィールドにレベル６以上の、幻想魔族か魔法使い族のモンスターが存在する場合、相手フィールドのカード１枚を対象として発動できる。そのカードを破壊する。②：このカードがモンスターの効果を発動するために墓地へ送られた場合に発動できる。このカードを自分フィールドにセットする。
罪宝の囁き,/yugiohdb/get_image.action?type=1&osplang=1&cid=20239&ciid=1&enc=cHDj8niPTmQ8nAd5pq-NQw,このカード名の①②の効果はそれぞれ１ターンに１度しか使用できない。①：自分フィールドの幻想魔族・魔法使い族モンスター１体を対象として発動できる。その表側表示モンスターを手札・EXデッキに戻す。その後、自分の墓地・除外状態の幻想魔族・魔法使い族モンスター１体を特殊召喚する。②：このカードがモンスターの効果を発動するために墓地へ送られた場合に発動できる。このカードを自分フィールドにセットする。
刻まれし魔の詠聖,/yugiohdb/get_image.action?type=1&osplang=1&cid=20240&ciid=1&enc=CnCwo5Ike8HUA83sfLwSew,このカード名の①②の効果はそれぞれ１ターンに１度しか使用できない。①：デッキから悪魔族・光属性モンスター１体を手札に加える。その後、自分の手札を１枚選んで捨てる。②：墓地のこのカードを除外して発動できる。自分の手札・フィールドのモンスターを融合素材とし、「デモンスミス」融合モンスター１体を融合召喚する。
刻まれし魔の讃聖,/yugiohdb/get_image.action?type=1&osplang=1&cid=20241&ciid=1&enc=emM7CGM78HGGM4RIblNvNg,このカード名の①②の効果はそれぞれ１ターンに１度しか使用できない。①：自分フィールドの表側表示モンスターが、存在しない場合または悪魔族・光属性モンスターのみの場合に発動できる。自分フィールドに「デモンスミストークン」（悪魔族・光・星１・攻／守０）１体を特殊召喚する。このターン、自分は悪魔族モンスターでしか攻撃宣言できない。②：このカードが墓地に存在する状態で、自分フィールドの表側表示の「デモンスミス」モンスターが相手の効果で破壊された場合に発動できる。このカードを自分フィールドにセットする。
贖いのエンブレーマ,/yugiohdb/get_image.action?type=1&osplang=1&cid=20242&ciid=1&enc=2YRHJLr6QZUqWccZKw8hdA,このカード名のカードは１ターンに１枚しか発動できない。①：自分の魔法＆罠ゾーンの表側表示の「センチュリオン」モンスターカード１枚を除外し、相手フィールドのカード１枚を対象として発動できる。そのカードを除外する。②：セットされたこのカードが相手の発動した効果で、破壊された場合または除外された場合に発動できる。自分の手札・デッキ・墓地・除外状態の「センチュリオン」モンスター２体を永続罠カード扱いで自分の魔法＆罠ゾーンに表側表示で置く（同名カードは１枚まで）。
宵星の閃光,/yugiohdb/get_image.action?type=1&osplang=1&cid=20243&ciid=1&enc=QLztcPBJ8jrhmPEivR_7LQ,このカード名のカードは１ターンに１枚しか発動できない。①：相手フィールドのモンスターの数が自分フィールドのモンスターより２体以上多い場合に発動できる。相手は自身のフィールドのモンスターを任意の数だけ墓地へ送る事ができる。自分は相手フィールドのモンスターの数によって以下の効果を適用する。●０体：自分のLPは半分になる。●１体：相手は２０００LP回復する。●２体：相手の手札を全てエンドフェイズまで表側で除外する。●３体以上：このターン、相手はモンスターの効果を発動できない。
トラップ・ギャザー,/yugiohdb/get_image.action?type=1&osplang=1&cid=20244&ciid=1&enc=rfJ087yIabDz57yxij9dMQ,このカード名の②③の効果はそれぞれ１ターンに１度しか使用できない。①：装備モンスターの攻撃力は、自分の墓地の罠カードの数×４００アップする。②：装備モンスターが、戦闘で相手モンスターを破壊したダメージ計算後、または相手に戦闘ダメージを与えた時、このカードを墓地へ送って発動できる。自分の墓地から罠カード１枚を自分フィールドにセットする。③：自分フィールドの表側表示の罠カードが効果で破壊される場合、代わりにフィールドのこのカードを除外できる。
亜空間物質回送装置,/yugiohdb/get_image.action?type=1&osplang=1&cid=20245&ciid=1&enc=psjY8yJi9mt1HmERfxOjtQ,このカード名の①②③の効果はそれぞれ１ターンに１度しか使用できない。①：フィールドのモンスター１体を対象として発動できる。そのモンスターを除外する。その後、この効果で除外したモンスターはフィールドに戻る。②：相手の効果が発動した場合、効果が無効化されている表側表示モンスター１体を対象として発動できる。そのモンスターを除外する。その後、この効果で除外したモンスターはフィールドに戻る。③：フィールドのこのカードを対象とした相手の効果が適用される際に、このカードを次のターンのエンドフェイズまで除外する。
BBS,/yugiohdb/get_image.action?type=1&osplang=1&cid=20246&ciid=1&enc=CT2PjpoF2rLmmBDbnPoGhA,①：「BBS」以外のカードの効果が発動する度に発動できる。このカードにアクセスカウンターを１つ置く（最大１０個まで）。②：自分フィールドのモンスターの攻撃力は、このカードのアクセスカウンターの数×１００アップする。③：このカードにアクセスカウンターが置かれ、そのアクセスカウンターの数が１０になった場合に発動できる。このカードを手札に戻し、自身をモンスターとして特殊召喚する効果を持つ永続罠カード１枚をデッキから自分フィールドにセットする。この効果でセットしたカードはセットしたターンでも発動できる。
怒りの業火 エクゾード・フレイム,/yugiohdb/get_image.action?type=1&osplang=1&cid=20247&ciid=1&enc=dAYuj8Kk_5yI1vZzjJw7NQ,このカード名はルール上「エグゾード」カードとしても扱う。このカード名の①②の効果はそれぞれ１ターンに１度しか使用できない。①：自分フィールドにレベル１０以上の「エクゾディア」モンスターが存在する場合に発動できる。相手フィールドのカードを全て破壊する。②：このターンに墓地へ送られていないこのカードを墓地から除外し、以下の効果から１つを選択して発動できる。●自分のデッキ・墓地から「封印されし」モンスター１体を手札に加える。●自分の墓地・除外状態の「封印されし」モンスターを５体までデッキに戻す。
黒魔術のバリア －ミラーフォース－,/yugiohdb/get_image.action?type=1&osplang=1&cid=20248&ciid=1&enc=jMD2EyfMgrKU66rib7uA8A,①：相手モンスターの攻撃宣言時、またはフィールドのモンスターを破壊する相手モンスターの効果が発動した時、「光の黄金櫃」のカード名が記されたモンスターがフィールドに存在していれば発動できる。相手フィールドの攻撃表示モンスターを全て破壊する。自分フィールドに「ブラック・マジシャン」が存在する場合、さらに破壊したモンスターの数×５００ダメージを相手に与える。このカードの発動後、このターン中、「光の黄金櫃」のカード名が記された自分フィールドのモンスターはそれぞれ１度だけ戦闘・効果では破壊されない。
傀儡遊儀－サービスト・パペット,/yugiohdb/get_image.action?type=1&osplang=1&cid=20249&ciid=1&enc=y74GrsY1JUnlwjhR1b_N3g,このカード名の①②の効果はそれぞれ１ターンに１度しか使用できない。①：自分フィールドの「ギミック・パペット」Xモンスターの数まで、相手フィールドのモンスターを対象として発動できる。そのモンスターのコントロールをエンドフェイズまで得る。②：自分フィールドに「ギミック・パペット」Xモンスターが存在する場合、このターンに墓地へ送られていないこのカードを墓地から除外し、自分か相手の墓地のXモンスター１体を対象として発動できる。そのモンスターを自分か相手のフィールドに守備表示で特殊召喚する。
白き森のわざわいなり,/yugiohdb/get_image.action?type=1&osplang=1&cid=20250&ciid=1&enc=-h_2zkiISJVLEnhYDEZwKQ,このカード名の①②の効果はそれぞれ１ターンに１度しか使用できない。①：手札・デッキから「白き森」モンスター１体を特殊召喚する。その後、「白き森」Sモンスター１体のS召喚を行う事ができる。②：このカードがモンスターの効果を発動するために墓地へ送られた場合に発動できる。このカードを自分フィールドにセットする。
刻まれし魔の楽園,/yugiohdb/get_image.action?type=1&osplang=1&cid=20251&ciid=1&enc=KFBv-A5jxEG3yCx22pcizQ,このカード名の①②の効果はそれぞれ１ターンに１度しか使用できない。①：自分フィールドのレベル７以上の悪魔族・光属性モンスター１体を対象として発動できる。そのモンスター以外のフィールドのカードを全て墓地へ送る。②：このカードが墓地に存在する状態で、相手がモンスターを特殊召喚した場合、このカードを除外して発動できる。デッキ・EXデッキから「デモンスミス」モンスター１体を墓地へ送る。
燦幻開花,/yugiohdb/get_image.action?type=1&osplang=1&cid=20252&ciid=1&enc=eCmMhkbwhmiM4qHJvA1MMQ,このカード名の①②の効果はそれぞれ１ターンに１度しか使用できない。①：自分・相手のメインフェイズに、自分フィールドのモンスターがドラゴン族・炎属性モンスターのみで、相手フィールドのモンスターの数が自分フィールドのモンスターより多い場合に発動できる。このメインフェイズを終了する。②：３回以上攻撃宣言された自分・相手ターンに、墓地のこのカードを除外して発動できる。自分は１枚ドローする。その後、手札から「天盃龍」モンスターを任意の数だけ特殊召喚できる。
粛声のガーディアン,/yugiohdb/get_image.action?type=1&osplang=1&cid=20253&ciid=1&enc=rG8LU7XtTqSoXrmUnYr59Q,このカード名の①②の効果は、それぞれ１ターンに１度しか使用できず、同一チェーン上では発動できない。①：儀式モンスター以外の自分フィールドのモンスターが戦闘・効果で破壊された場合に発動できる。手札・デッキから「ローガーディアン」１体を特殊召喚する。②：魔法＆罠ゾーンの表側表示のこのカードを墓地へ送り、自分フィールドの儀式モンスター１体を対象として発動できる。そのモンスターの攻撃力はターン終了時まで、フィールドの他のモンスターの元々の攻撃力の合計分アップする。
創神のヴァルモニカ,/yugiohdb/get_image.action?type=1&osplang=1&cid=20254&ciid=1&enc=nuk31uxmr5CZRmjdXZZyhA,このカード名の②③の効果はそれぞれ１ターンに１度しか使用できない。①：自分フィールドに響鳴カウンターが６つ以上存在する限り、自分フィールドの「ヴァルモニカ」Lモンスターの攻撃力は１２００アップする。②：相手がモンスターを特殊召喚した場合に発動できる。「ヴァルモニカ」Lモンスター１体のL召喚を行う。③：このカードが手札・フィールドから墓地へ送られた場合に発動できる。響鳴カウンターを置く事ができる自分のPゾーンのカード１枚に、響鳴カウンターを３つになるように置く。
流星極輝巧群,/yugiohdb/get_image.action?type=1&osplang=1&cid=20255&ciid=1&enc=9mfu4_m0YUwdFyE5aEA_-g,このカード名の①②の効果はそれぞれ１ターンに１度しか使用できない。①：「ドライトロン」カードが除外された場合、自分フィールドの「ドライトロン」モンスター１体をリリースし、自分の除外状態の「ドライトロン」カードを２枚まで対象として発動できる。そのカードを手札に加える。②：手札の「流星輝巧群」１枚を相手に見せて発動できる。攻撃力の合計が儀式召喚するモンスターの攻撃力以上になるように、自分の手札・フィールドの機械族モンスターをリリースし、自分の手札・墓地から機械族の儀式モンスター１体を儀式召喚する。
マドルチェ・デセール,/yugiohdb/get_image.action?type=1&osplang=1&cid=20256&ciid=1&enc=tA3XlZDexJNgfCW1EBBEOQ,このカード名の①②の効果は１ターンに１度、いずれか１つしか使用できない。①：「マドルチェ」モンスターを含むフィールドの効果モンスター２体を対象として発動できる。その効果モンスターを手札・EXデッキに戻す。その後、戻したモンスターの元々の攻撃力の合計以下の攻撃力の「マドルチェ」モンスター１体を手札・EXデッキから特殊召喚できる。②：このカードが墓地に存在する状態で、自分の墓地の「マドルチェ」カードがデッキ・EXデッキに戻った場合に発動できる。このカードを自分フィールドのXモンスター１体のX素材とする。
聖王の粉砕,/yugiohdb/get_image.action?type=1&osplang=1&cid=20257&ciid=1&enc=Ggr-Rvq9UbIoEimHGBxo0g,このカード名のカードは１ターンに１枚しか発動できない。相手フィールドにカードが存在する場合、このカードの発動は手札からもできる。①：デッキからカードを手札に加える効果を含む、魔法・罠・モンスターの効果が発動した時に発動できる。その効果を無効にする。自分の墓地に罠カードが存在する場合、さらにその無効にしたカードを破壊する。このカードを手札から発動した場合、発動後、このデュエル中に自分は闇・水・炎属性モンスターの効果を発動できない。
影帽子,/yugiohdb/get_image.action?type=1&osplang=1&cid=20258&ciid=1&enc=SNKLkOvYc74JziijKOJLIA,このカード名のカードは１ターンに１枚しか発動できない。①：このカードは発動後、以下の効果を持つ効果モンスター（幻想魔族・闇・星４・攻１５００／守６００）となり、モンスターゾーンに特殊召喚する（罠カードとしても扱う）。●このカードが特殊召喚した場合、自分フィールドの幻想魔族モンスターの数まで相手フィールドの表側表示カードを対象として発動できる。そのカードの効果をターン終了時まで無効にする。●このカードがモンスターと戦闘を行う場合、その２体はその戦闘では破壊されない。
三位一体,/yugiohdb/get_image.action?type=1&osplang=1&cid=20259&ciid=1&enc=QfN3Ikc2hTF8E5u2Rbxt3Q,①：相手エンドフェイズに、相手の手札・フィールドのカードの数が、自分の手札・フィールドのカードの数より多い場合に発動できる。自分の墓地から通常モンスター３体を特殊召喚する。②：墓地のこのカードを除外し、元々のカード名が異なる自分フィールドのモンスターカード３枚を対象として発動できる。そのカード３枚の元々のカード名が全て記された魔法・罠カード１枚を手札・デッキから自分フィールドにセットする。
